https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1609286400000,2020-12-30 00:00:00,BTC/USDT,27402.83,27624.00,27402.82,27623.41,2635.438,72437377.94142,12535
1609282800000,2020-12-29 23:00:00,BTC/USDT,27074.52,27441.73,26970.25,27402.83,10622.566,289435331.21770,79775
1609279200000,2020-12-29 22:00:00,BTC/USDT,26946.45,27150.00,26924.60,27074.52,6312.989,170692823.99632,55770
1609275600000,2020-12-29 21:00:00,BTC/USDT,27020.00,27247.83,26841.00,26946.45,13396.140,362644297.45760,93905
1609272000000,2020-12-29 20:00:00,BTC/USDT,26957.14,27036.00,26805.11,27019.99,8682.268,233838773.31151,72115
1609268400000,2020-12-29 19:00:00,BTC/USDT,26620.01,26966.92,26558.00,26957.13,8756.335,234705077.35558,71091
1609264800000,2020-12-29 18:00:00,BTC/USDT,26641.21,26779.89,26588.38,26620.01,8626.171,230110508.44543,62582
1609261200000,2020-12-29 17:00:00,BTC/USDT,26454.62,26666.68,26266.15,26642.80,10872.945,287828800.75723,74436
1609257600000,2020-12-29 16:00:00,BTC/USDT,26636.84,26645.18,26270.00,26454.61,16069.403,424598610.10917,104721
1609254000000,2020-12-29 15:00:00,BTC/USDT,26695.82,26766.66,26460.19,26636.84,11109.471,295586389.72226,74342
1609250400000,2020-12-29 14:00:00,BTC/USDT,26904.01,26929.79,26611.80,26695.82,9880.946,264411151.27229,73233
1609246800000,2020-12-29 13:00:00,BTC/USDT,26923.68,26999.95,26756.80,26904.01,6829.383,183740778.79672,57272
1609243200000,2020-12-29 12:00:00,BTC/USDT,26904.73,27133.76,26874.84,26923.67,13934.766,376532319.79873,94533
1609239600000,2020-12-29 11:00:00,BTC/USDT,26756.63,26948.00,26600.00,26908.01,8967.110,239862258.04300,74933
1609236000000,2020-12-29 10:00:00,BTC/USDT,26602.01,26883.90,26601.10,26756.62,10068.792,269778791.34764,75319
1609232400000,2020-12-29 09:00:00,BTC/USDT,26674.81,26767.45,26531.79,26602.00,8503.904,226666245.41454,61954
1609228800000,2020-12-29 08:00:00,BTC/USDT,26457.74,26792.40,26454.18,26674.81,13226.046,352018826.64396,85899
1609225200000,2020-12-29 07:00:00,BTC/USDT,26376.26,26478.29,26164.01,26457.77,6873.280,180821744.35917,57109
1609221600000,2020-12-29 06:00:00,BTC/USDT,26476.59,26540.00,26287.96,26376.44,9613.997,253980252.65454,67669
1609218000000,2020-12-29 05:00:00,BTC/USDT,26514.31,26520.00,25913.01,26476.60,25365.369,665155867.70379,135226
1609214400000,2020-12-29 04:00:00,BTC/USDT,26478.00,26620.23,26230.00,26514.31,18488.500,488732054.41515,106580
1609210800000,2020-12-29 03:00:00,BTC/USDT,26887.42,26893.18,26464.14,26473.39,12706.226,338451099.42147,82391
1609207200000,2020-12-29 02:00:00,BTC/USDT,26853.77,26977.90,26753.69,26887.43,4851.468,130421176.70148,40844
1609203600000,2020-12-29 01:00:00,BTC/USDT,26843.00,26891.00,26660.56,26855.05,7963.837,213348416.43154,62527
1609200000000,2020-12-29 00:00:00,BTC/USDT,27101.45,27139.79,26782.81,26843.00,9037.537,243451614.41404,68952
1609196400000,2020-12-28 23:00:00,BTC/USDT,26917.58,27188.00,26857.48,27102.66,10469.609,283311201.42371,70420
1609192800000,2020-12-28 22:00:00,BTC/USDT,26645.13,26973.33,26423.96,26917.48,15891.482,424667438.06879,108389
1609189200000,2020-12-28 21:00:00,BTC/USDT,26885.90,26978.23,26639.34,26648.39,7723.919,207339144.85946,58779
1609185600000,2020-12-28 20:00:00,BTC/USDT,27028.03,27125.01,26690.01,26885.89,13461.162,361631021.48201,86525
1609182000000,2020-12-28 19:00:00,BTC/USDT,27045.71,27228.77,26966.00,27026.25,7209.248,195490672.30916,58661
1609178400000,2020-12-28 18:00:00,BTC/USDT,27165.00,27255.00,26900.00,27041.80,7869.840,213219638.60683,63410
1609174800000,2020-12-28 17:00:00,BTC/USDT,27098.23,27267.43,27039.18,27165.01,5807.458,157767438.49226,53379
1609171200000,2020-12-28 16:00:00,BTC/USDT,26944.25,27193.50,26730.00,27098.23,13563.076,366437664.53235,99162
1609167600000,2020-12-28 15:00:00,BTC/USDT,27313.48,27356.00,26850.04,26944.25,15534.412,420171692.34315,108396
1609164000000,2020-12-28 14:00:00,BTC/USDT,27276.00,27384.28,27154.21,27313.20,9638.570,262985527.56758,80188
1609160400000,2020-12-28 13:00:00,BTC/USDT,27124.01,27538.82,27124.01,27276.00,21602.627,590560009.87330,148969
1609156800000,2020-12-28 12:00:00,BTC/USDT,26893.87,27168.00,26738.71,27124.02,12710.608,343260289.79494,97972
1609153200000,2020-12-28 11:00:00,BTC/USDT,26755.87,26925.00,26634.65,26893.96,7752.274,207850048.93152,62794
1609149600000,2020-12-28 10:00:00,BTC/USDT,26864.97,26959.00,26600.00,26757.70,11047.485,295769207.81314,79276
1609146000000,2020-12-28 09:00:00,BTC/USDT,26968.00,27039.17,26773.58,26865.46,6639.029,178765069.42885,59115
1609142400000,2020-12-28 08:00:00,BTC/USDT,27028.86,27138.19,26732.58,26969.00,14058.846,378420399.09855,94131
1609138800000,2020-12-28 07:00:00,BTC/USDT,27072.58,27228.10,27020.00,27028.86,9501.595,257793919.71999,72695
1609135200000,2020-12-28 06:00:00,BTC/USDT,26960.23,27124.12,26878.09,27072.57,5931.639,160078506.35198,49893
1609131600000,2020-12-28 05:00:00,BTC/USDT,26882.77,27180.00,26832.31,26960.24,8736.964,236223473.47890,62464
1609128000000,2020-12-28 04:00:00,BTC/USDT,27287.25,27325.00,26854.57,26882.76,7371.499,199456149.83144,58485
1609124400000,2020-12-28 03:00:00,BTC/USDT,27098.96,27300.00,26930.97,27287.11,7241.587,196406503.85155,64945
1609120800000,2020-12-28 02:00:00,BTC/USDT,27078.27,27181.68,26916.49,27098.96,8412.957,227626954.76176,63242
1609117200000,2020-12-28 01:00:00,BTC/USDT,26894.04,27390.00,26820.30,27078.26,18548.258,503681402.99086,114233
1609113600000,2020-12-28 00:00:00,BTC/USDT,26301.76,27006.55,26117.10,26899.00,20839.324,555294906.12019,131450
1609110000000,2020-12-27 23:00:00,BTC/USDT,26547.98,26730.83,26251.35,26305.64,12281.543,325586500.62721,83310
1609106400000,2020-12-27 22:00:00,BTC/USDT,26421.11,26738.84,26288.00,26547.15,13394.930,355065181.29206,95675
1609102800000,2020-12-27 21:00:00,BTC/USDT,26243.97,26480.00,25850.00,26421.11,30119.602,788427442.81216,182137
1609099200000,2020-12-27 20:00:00,BTC/USDT,27117.66,27129.00,26210.00,26244.51,22732.697,604513328.37405,148034
1609095600000,2020-12-27 19:00:00,BTC/USDT,27098.90,27327.58,27016.93,27117.16,8869.643,240989455.52089,72985
1609092000000,2020-12-27 18:00:00,BTC/USDT,26840.30,27100.00,26573.00,27098.93,15756.773,423131334.86360,105170
1609088400000,2020-12-27 17:00:00,BTC/USDT,27116.65,27116.66,26705.00,26840.29,15190.322,408901276.20359,102206
1609084800000,2020-12-27 16:00:00,BTC/USDT,27399.50,27528.56,26656.21,27115.15,34078.545,919285407.43061,206092
1609081200000,2020-12-27 15:00:00,BTC/USDT,27375.18,27536.70,27061.00,27399.38,16819.924,459482344.80761,110707
1609077600000,2020-12-27 14:00:00,BTC/USDT,27543.44,27800.00,27263.39,27375.18,20137.849,555413489.10534,131852
1609074000000,2020-12-27 13:00:00,BTC/USDT,27231.70,27644.00,27066.75,27543.44,19999.700,547068422.96648,125226
1609070400000,2020-12-27 12:00:00,BTC/USDT,27679.48,27679.61,26592.00,27234.02,50231.517,1362025725.88017,293581
1609066800000,2020-12-27 11:00:00,BTC/USDT,27839.19,28459.84,27034.23,27679.15,66150.250,1844131480.55345,371543
1609063200000,2020-12-27 10:00:00,BTC/USDT,27830.74,27919.99,27705.00,27839.18,11007.336,306084151.65495,77189
1609059600000,2020-12-27 09:00:00,BTC/USDT,27500.00,27882.79,27212.16,27830.75,25172.597,695021110.95084,152099
1609056000000,2020-12-27 08:00:00,BTC/USDT,27655.40,27958.90,27342.44,27500.00,29192.883,811007502.56607,164968
1609052400000,2020-12-27 07:00:00,BTC/USDT,27650.89,27815.00,27464.29,27655.27,17650.546,488036422.69948,111647
1609048800000,2020-12-27 06:00:00,BTC/USDT,26906.00,27779.64,26903.79,27652.21,42070.318,1154252826.58731,230226
1609045200000,2020-12-27 05:00:00,BTC/USDT,26760.00,26967.06,26719.48,26905.88,10320.555,277014169.96244,68461
1609041600000,2020-12-27 04:00:00,BTC/USDT,26590.96,26843.00,26590.96,26760.01,9810.078,262339206.25477,63840
1609038000000,2020-12-27 03:00:00,BTC/USDT,26583.94,26663.00,26454.60,26590.96,9663.997,256826168.44427,64473
1609034400000,2020-12-27 02:00:00,BTC/USDT,26637.91,26877.81,26492.49,26583.94,16737.092,447127779.52411,108195
1609030800000,2020-12-27 01:00:00,BTC/USDT,26773.77,26999.65,26528.00,26637.91,24924.509,667693530.79758,146462
1609027200000,2020-12-27 00:00:00,BTC/USDT,26508.84,26892.78,26500.48,26774.87,17950.942,479154692.03718,109576
1609023600000,2020-12-26 23:00:00,BTC/USDT,26438.53,26670.00,26374.92,26508.83,11768.163,312213346.39556,83460
1609020000000,2020-12-26 22:00:00,BTC/USDT,26720.00,26826.12,26060.02,26438.53,26829.410,708700287.87234,181660
1609016400000,2020-12-26 21:00:00,BTC/USDT,26440.40,26926.00,26350.18,26720.00,34802.520,926611116.97466,210512
1609012800000,2020-12-26 20:00:00,BTC/USDT,25946.99,26549.99,25824.09,26440.40,26889.566,704157066.89430,168332
1609009200000,2020-12-26 19:00:00,BTC/USDT,25644.62,25950.00,25604.16,25944.43,9945.935,256543740.59349,65974
1609005600000,2020-12-26 18:00:00,BTC/USDT,25814.00,25880.00,25601.23,25644.62,11511.343,296262552.53897,69112
1609002000000,2020-12-26 17:00:00,BTC/USDT,25872.26,26053.61,25700.12,25814.00,19438.412,502517647.83233,113839
1608998400000,2020-12-26 16:00:00,BTC/USDT,25636.71,25970.00,25582.15,25872.27,34978.171,901622534.18396,185320
1608994800000,2020-12-26 15:00:00,BTC/USDT,25390.00,25690.00,25350.00,25638.48,22577.506,576002116.67198,137591
1608991200000,2020-12-26 14:00:00,BTC/USDT,24947.99,25450.00,24890.13,25389.99,33119.202,835578516.88821,183376
1608987600000,2020-12-26 13:00:00,BTC/USDT,24903.22,24999.00,24826.10,24948.00,8722.942,217349728.03363,58384
1608984000000,2020-12-26 12:00:00,BTC/USDT,24843.81,24964.45,24743.47,24903.21,8433.488,209557326.11974,56549
1608980400000,2020-12-26 11:00:00,BTC/USDT,24737.99,24899.00,24715.67,24843.80,8134.917,201838524.98002,55492
1608976800000,2020-12-26 10:00:00,BTC/USDT,24868.08,24915.00,24552.00,24737.96,9632.988,238321582.30811,67151
1608973200000,2020-12-26 09:00:00,BTC/USDT,24913.80,24931.85,24732.24,24868.08,8852.610,219807865.15768,61152
1608969600000,2020-12-26 08:00:00,BTC/USDT,24793.27,25029.69,24765.67,24913.81,9459.490,235660846.37943,65697
1608966000000,2020-12-26 07:00:00,BTC/USDT,24843.06,24950.00,24725.93,24793.28,6695.308,166265831.19100,49690
1608962400000,2020-12-26 06:00:00,BTC/USDT,24729.54,24883.99,24680.13,24840.86,5865.287,145403160.99621,42333
