https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1609286400000,2020-12-30 00:00:00,ETH/USDT,733.45,737.09,733.45,736.12,10030.264,7376863.77156,4523
1609200000000,2020-12-29 00:00:00,ETH/USDT,731.06,742.00,690.10,733.45,4261041.716,3062141882.86711,1752957
1609113600000,2020-12-28 00:00:00,ETH/USDT,685.97,749.50,681.91,731.07,5455254.006,3965092828.22437,2092574
1609027200000,2020-12-27 00:00:00,ETH/USDT,637.89,718.75,625.00,685.97,6363000.477,4287976144.01719,2234484
1608940800000,2020-12-26 00:00:00,ETH/USDT,627.17,654.32,615.10,637.90,3122352.524,1980966584.01513,1165772
1608854400000,2020-12-25 00:00:00,ETH/USDT,612.31,634.96,604.50,627.18,2623370.085,1624993202.28557,1020133
1608768000000,2020-12-24 00:00:00,ETH/USDT,585.49,615.42,565.20,612.31,3154682.001,1850869925.29699,1169046
1608681600000,2020-12-23 00:00:00,ETH/USDT,637.20,639.54,546.81,585.34,4594542.183,2780347849.30735,1465155
1608595200000,2020-12-22 00:00:00,ETH/USDT,608.24,638.70,588.41,637.20,3285945.398,2018867691.25137,1058048
1608508800000,2020-12-21 00:00:00,ETH/USDT,638.25,648.88,595.54,608.18,3621682.355,2244492979.21308,1260169
1608422400000,2020-12-20 00:00:00,ETH/USDT,658.82,662.99,620.93,638.27,2759178.686,1784260076.65732,1034345
1608336000000,2020-12-19 00:00:00,ETH/USDT,654.44,671.95,646.00,658.81,2635211.184,1734368811.90602,1107104
1608249600000,2020-12-18 00:00:00,ETH/USDT,643.09,665.85,630.10,654.51,2995266.462,1938890105.18305,1193469
1608163200000,2020-12-17 00:00:00,ETH/USDT,637.79,678.20,625.00,643.12,6624640.551,4323918360.18859,2097193
1608076800000,2020-12-16 00:00:00,ETH/USDT,588.80,640.47,581.04,637.80,3634225.420,2224121861.38123,1304479
1607990400000,2020-12-15 00:00:00,ETH/USDT,586.32,598.00,579.00,588.80,1866136.289,1096639680.90851,823810
1607904000000,2020-12-14 00:00:00,ETH/USDT,590.92,591.63,575.57,586.33,1808415.505,1056642933.64741,801134
1607817600000,2020-12-13 00:00:00,ETH/USDT,568.30,595.47,563.11,590.91,2311572.280,1347203345.71772,798911
1607731200000,2020-12-12 00:00:00,ETH/USDT,544.80,574.00,543.34,568.34,1764546.873,986473193.62934,700318
1607644800000,2020-12-11 00:00:00,ETH/USDT,559.69,561.37,533.11,544.74,2929601.560,1599364273.38403,937661
1607558400000,2020-12-10 00:00:00,ETH/USDT,573.28,575.67,548.52,559.71,2293137.506,1286219630.44382,792141
1607472000000,2020-12-09 00:00:00,ETH/USDT,555.08,578.62,531.00,573.27,3460599.610,1926583484.51165,1102128
1607385600000,2020-12-08 00:00:00,ETH/USDT,591.84,595.75,548.00,555.17,3233758.126,1856322580.76521,1019489
1607299200000,2020-12-07 00:00:00,ETH/USDT,601.86,603.63,584.67,591.84,1665460.089,989095671.20030,676652
1607212800000,2020-12-06 00:00:00,ETH/USDT,596.98,607.93,583.20,601.86,2030749.593,1210476905.56092,934832
1607126400000,2020-12-05 00:00:00,ETH/USDT,567.69,598.20,561.06,596.97,2107815.290,1234522304.91226,881935
1607040000000,2020-12-04 00:00:00,ETH/USDT,616.21,620.99,564.91,567.68,3251195.251,1930987603.32641,1123400
1606953600000,2020-12-03 00:00:00,ETH/USDT,596.96,624.70,585.95,616.20,2791753.902,1695201269.41961,997759
1606867200000,2020-12-02 00:00:00,ETH/USDT,585.92,605.88,574.73,596.96,3460094.906,2049109615.60201,1117881
1606780800000,2020-12-01 00:00:00,ETH/USDT,617.50,638.66,558.00,585.98,7059013.364,4240637440.96608,1951189
1606694400000,2020-11-30 00:00:00,ETH/USDT,576.38,617.53,570.90,617.42,4836853.473,2884934969.37863,1368780
1606608000000,2020-11-29 00:00:00,ETH/USDT,537.37,577.00,530.50,576.38,2762989.981,1524874855.14498,943839
1606521600000,2020-11-28 00:00:00,ETH/USDT,518.89,548.00,507.00,537.46,2832550.126,1497243990.57013,906409
1606435200000,2020-11-27 00:00:00,ETH/USDT,520.20,530.83,493.80,518.92,3685801.761,1891984830.74204,1098744
1606348800000,2020-11-26 00:00:00,ETH/USDT,569.79,577.53,480.12,520.25,9591594.788,4964042842.54140,2411538
1606262400000,2020-11-25 00:00:00,ETH/USDT,605.71,607.09,555.00,569.79,4433328.336,2605337977.25365,1287051
1606176000000,2020-11-24 00:00:00,ETH/USDT,609.12,624.65,586.15,605.72,5651528.809,3439202254.39881,1535693
