https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1609286400000,2020-12-30 00:00:00,ETH/USDT,733.45,737.09,733.45,736.97,11271.529,8290830.42976,5159
1609282800000,2020-12-29 23:00:00,ETH/USDT,730.93,738.46,725.52,733.45,106816.850,78297602.59169,54509
1609279200000,2020-12-29 22:00:00,ETH/USDT,726.23,731.63,724.62,730.86,61743.439,44960748.10721,36987
1609275600000,2020-12-29 21:00:00,ETH/USDT,730.32,732.87,723.49,726.24,85598.588,62393068.81339,45740
1609272000000,2020-12-29 20:00:00,ETH/USDT,731.22,732.97,722.03,730.29,117161.736,85245579.93058,53302
1609268400000,2020-12-29 19:00:00,ETH/USDT,721.79,733.00,721.36,731.30,99715.197,72610718.41310,52613
1609264800000,2020-12-29 18:00:00,ETH/USDT,721.51,726.33,720.01,721.79,103642.335,74950116.48581,48459
1609261200000,2020-12-29 17:00:00,ETH/USDT,715.53,722.00,709.55,721.48,150044.358,107521783.61128,67428
1609257600000,2020-12-29 16:00:00,ETH/USDT,720.03,720.54,705.66,715.47,286877.426,204263327.34506,109549
1609254000000,2020-12-29 15:00:00,ETH/USDT,723.01,727.73,714.72,720.05,204875.320,147661234.16940,79168
1609250400000,2020-12-29 14:00:00,ETH/USDT,730.70,732.07,720.03,723.00,165218.142,119911674.91880,70182
1609246800000,2020-12-29 13:00:00,ETH/USDT,730.14,735.71,726.17,730.64,116119.478,84956207.76254,56056
1609243200000,2020-12-29 12:00:00,ETH/USDT,732.58,741.18,727.28,730.17,229085.007,168389695.25639,93414
1609239600000,2020-12-29 11:00:00,ETH/USDT,730.69,735.99,720.62,732.58,230919.240,168087937.84746,81735
1609236000000,2020-12-29 10:00:00,ETH/USDT,723.28,734.65,722.76,730.69,185595.508,135615980.49222,70941
1609232400000,2020-12-29 09:00:00,ETH/USDT,714.76,729.44,711.00,723.27,227661.150,164083080.11987,76960
1609228800000,2020-12-29 08:00:00,ETH/USDT,710.77,718.00,710.61,714.77,118331.912,84539343.67300,61863
1609225200000,2020-12-29 07:00:00,ETH/USDT,709.44,713.66,704.37,710.77,108832.157,77164614.86965,52731
1609221600000,2020-12-29 06:00:00,ETH/USDT,708.20,713.99,703.00,709.44,178049.620,126292852.67587,68891
1609218000000,2020-12-29 05:00:00,ETH/USDT,706.15,708.57,691.53,708.20,285802.871,199901488.83281,102699
1609214400000,2020-12-29 04:00:00,ETH/USDT,701.10,708.26,690.10,706.26,339748.232,238040847.39268,118747
1609210800000,2020-12-29 03:00:00,ETH/USDT,721.97,722.06,700.67,700.94,228699.168,162356230.10679,90739
1609207200000,2020-12-29 02:00:00,ETH/USDT,718.98,724.35,713.29,721.96,113440.687,81586563.41404,55801
1609203600000,2020-12-29 01:00:00,ETH/USDT,720.63,720.86,707.70,718.98,267126.201,191073292.71351,108221
1609200000000,2020-12-29 00:00:00,ETH/USDT,731.06,742.00,719.00,720.64,249937.094,182237893.32396,96222
1609196400000,2020-12-28 23:00:00,ETH/USDT,728.00,734.88,725.30,731.07,95484.833,69780974.91348,53388
1609192800000,2020-12-28 22:00:00,ETH/USDT,728.86,736.06,715.22,728.00,253906.894,184267007.70242,99024
1609189200000,2020-12-28 21:00:00,ETH/USDT,735.02,736.72,728.63,728.87,116668.438,85654706.14968,54146
1609185600000,2020-12-28 20:00:00,ETH/USDT,745.20,748.47,726.12,734.95,306326.476,225639064.49086,107445
1609182000000,2020-12-28 19:00:00,ETH/USDT,738.09,749.50,737.78,745.19,171711.804,128057844.06888,67021
1609178400000,2020-12-28 18:00:00,ETH/USDT,740.04,746.84,736.60,738.08,166314.694,123371125.50359,72866
1609174800000,2020-12-28 17:00:00,ETH/USDT,739.01,744.00,736.77,740.04,114165.400,84508447.23392,53237
1609171200000,2020-12-28 16:00:00,ETH/USDT,729.97,747.90,726.82,738.94,361523.373,267781718.30100,128352
1609167600000,2020-12-28 15:00:00,ETH/USDT,738.56,741.87,726.70,729.97,231961.291,170033983.35255,94213
1609164000000,2020-12-28 14:00:00,ETH/USDT,728.01,741.36,726.19,738.57,186695.255,136995756.04281,83561
1609160400000,2020-12-28 13:00:00,ETH/USDT,726.28,731.70,716.11,728.01,242150.302,175552031.93645,90061
1609156800000,2020-12-28 12:00:00,ETH/USDT,733.17,736.88,721.15,726.32,242804.716,176866224.68716,92174
1609153200000,2020-12-28 11:00:00,ETH/USDT,728.34,735.22,724.00,733.16,171741.181,125524761.36159,66710
1609149600000,2020-12-28 10:00:00,ETH/USDT,734.18,736.65,721.20,728.25,260374.562,189901912.42113,91314
1609146000000,2020-12-28 09:00:00,ETH/USDT,740.90,741.64,731.04,734.19,222531.628,163888021.11117,79320
1609142400000,2020-12-28 08:00:00,ETH/USDT,733.90,743.60,725.30,740.89,427074.770,313914687.97932,141037
1609138800000,2020-12-28 07:00:00,ETH/USDT,713.99,739.90,712.30,733.79,480177.541,350151893.41283,159395
